ʔ	30	+	100 (13)[(u'right.a.14', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.02', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.05', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'important.a.03', '/\xc9\xaam\xcb\x88p\xc9\x94\xc9\xb9\xca\x94n\xcc\xa9t/'), (u'important.a.01', '/\xc9\xaam\xcb\x88p\xc9\x94\xc9\xb9\xca\x94n\xcc\xa9t/'), (u'right.a.03', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.10', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.04', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'proficient.a.01', '/p\xc9\xb9o\xca\x8a\xcb\x88f\xc9\xaa\xca\x83.\xc9\x99n\xca\x94/'), (u'right.n.07', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'treat.n.02', '[t\xc9\xb9i\xca\x94(t\xcc\x9a)]'), (u'treat.n.02', '[t\xcd\xa1\xca\x83\xc9\xb9i\xca\x94(t\xcc\x9a)]'), (u'right.r.09', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]')]
̚	29	+	100 (10)[(u'right.a.14', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.02', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.05', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.03', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.10', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.a.04', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'right.n.07', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]'), (u'treat.n.02', '[t\xc9\xb9i\xca\x94(t\xcc\x9a)]'), (u'treat.n.02', '[t\xcd\xa1\xca\x83\xc9\xb9i\xca\x94(t\xcc\x9a)]'), (u'right.r.09', '[\xc9\xb9a\xc9\xaa\xca\x94(t\xcc\x9a)]')]
ʷ	28	-	100 (6)[(u'rocky.a.04', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x94ki\xcb\x90]'), (u'rocky.a.04', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x92ki\xcb\x90]'), (u'rocky.a.04', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x92ki]'), (u'rocky.a.02', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x94ki\xcb\x90]'), (u'rocky.a.02', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x92ki\xcb\x90]'), (u'rocky.a.02', '[\xcb\x88\xc9\xb9\xca\xb7\xc9\x92ki]')]
ō	25	+	100 (4)[(u'rotund.a.02', '/r\xc5\x8d\xcb\x88t\xc9\x99nd/'), (u'rotund.a.02', '/\xcb\x88r\xc5\x8d\xcb\x8ct\xc9\x99nd/'), (u'rotund.a.02', '/\xcb\x88r\xc5\x8d\xcb\x8ct\xc9\x99nd/'), (u'rotund.a.02', '/\xcb\x88r\xc5\x8d\xcb\x8ct\xca\x8cnd/')]
̆	23	-	100 (3)[(u'procrastination.n.02', '/p\xc9\xb9\xc9\x99\xca\x8a\xcc\x86\xcb\x8ck\xc9\xb9\xc3\xa6st\xc9\xaa\xcb\x88ne\xc9\xaa\xca\x83\xc9\x99\xcc\x86n/'), (u'procrastination.n.02', '/p\xc9\xb9\xc9\x99\xca\x8a\xcc\x86\xcb\x8ck\xc9\xb9\xc3\xa6st\xc9\xaa\xcb\x88ne\xc9\xaa\xca\x83\xc9\x99\xcc\x86n/'), (u'mysophilia.n.01', '/\xcb\x8cma\xc9\xaas\xc9\x99\xca\x8a\xcc\x86\xcb\x88f\xc9\xaal\xc9\xaa\xc9\x99/')]
ç	22	+	100 (3)[(u'humanist.a.04', '/\xcb\x88\xc3\xa7u\xcb\x90m\xc9\x99n\xc9\xaast/'), (u'humour.n.05', '/\xcb\x88\xc3\xa7u\xcb\x90.m\xc9\x99(\xc9\xb9)/'), (u'humour.v.01', '/\xcb\x88\xc3\xa7u\xcb\x90.m\xc9\x99(\xc9\xb9)/')]
˞	22	-	80.0 (4)[(u'verbal.a.06', '[\xcb\x88v\xc9\x9c\xcb\x9e.b\xc9\xab\xcc\xa9]'), (u'personal.a.03', '/\xcb\x88p\xc9\x9c\xcb\x9e.s\xc9\x99n.\xc9\x99l/'), (u'mar.v.02', '[m\xc9\x91\xcb\x9e]'), (u'jar.v.04', '[d\xca\x92\xc9\x91\xcb\x9e]'), (u'jar.v.03', '[d\xca\x92\xc9\x91\xcb\x9e]')]
 	20	-	100 (2)[(u'foul-up.n.01', '/\xcb\x88fa\xca\x8al\xe2\x80\x83\xca\x8cp/'), (u'foul_up.v.01', '/fa\xca\x8al\xe2\x80\x83\xcb\x88\xca\x8cp/')]
‌	14	+	100 (1)[(u'bisexual.a.02', '/ba\xc9\xaa\xcb\x88s\xc9\x9bk.\xca\x83u.\xe2\x80\x8c\xc9\x99l/')]
̪	13	+	100 (1)[(u'estimate.n.02', '/\xcb\x88\xc9\x9bst\xc9\xa8\xcb\x8cme\xc9\xaa\xcc\xaat/')]
